Headline,Label,Fact_Check_Source,Fact_Check_Result,Political_Bias
"“OTTOMANS WERE THE FIRST TO REACH THE MOON,” SAYS TURKISH PRESIDENT",0,FactCheck.org,FALSE,biased
"1 Thing Now Costing Hillary Everything, And The Best Part? She Designed It HERSELF",0,Snopes,FALSE,biased
20 ‘Black Lives’ Protesters Claim They Were Jumped By 4 Trump Supporters – Is It a HOAX?,0,Politifact,FALSE,unclear
30-day warranty expires on ‘Make America Great Again’ baseball caps,1,None,TRUE,neutral
5 Million Uncounted Sanders Ballots Found On Clinton's Email Server,0,FactCheck.org,FALSE,biased
99% of Americans Didn’t Spot CRAZY Thing That Happened THE SECOND Trump Won Primaries!,0,Snopes,FALSE,biased
African Billionaire Will Give $1 Million To Anyone Who Wants To Leave America if Donald Trump is Elected President,0,FactCheck.org,FALSE,biased
ALERT – Trump Issues AMAZING Response to Bill Clinton’s Disgusting Insults,0,Snopes,FALSE,biased
AMERICANS DESPERATELY TRYING TO REMEMBER ELECTION SAFE WORD,0,FactCheck.org,FALSE,biased
Amin; Amit Shah spoke 32 times in week before Sohrab killing,1,None,TRUE,neutral
Amit Shah in Delhi over leaked letter,1,None,TRUE,neutral
Amit Shah skips Gujarat Cabinet meeting,1,None,TRUE,neutral
Amit Shah to go on pilgrimage in his 'exile',1,None,TRUE,neutral
Amit Shah tried to hamper probe and threaten witnesses: CBI,1,None,TRUE,biased
Amit Shah wanted CID to go slow on probe: Raiger tells CBI,1,None,TRUE,neutral
An Exclusive Interview With Donald Trump,1,None,TRUE,unclear
Anderson Cooper Begins Debate By Giving Trump Opportunity To Explain What The Fuck Is Wrong With Him,0,Snopes,FALSE,biased
Announcing the Arnold Palmer Party — A Delightfully Refreshing Political Alternative,1,None,TRUE,biased
Another Person Investigating The Clintons Turns Up Dead,0,FactCheck.org,FALSE,neutral
Another Russian Politician Has Been Assassinated,0,Snopes,FALSE,neutral
"ASSASSINATION OF RUSSIAN AMBASSADOR JUSTIFIED, LIBERAL JOURNALIST SAYS",0,Politifact,FALSE,biased
BEN CARSON WARNS THAT BIBLE MAKES NO MENTION OF HOUSING OR URBAN DEVELOPMENT,0,FactCheck.org,FALSE,biased
Biden Donates Collection Of Classic Skin Mags To Those In Need During Holidays,1,None,TRUE,biased
Biden Forges President’s Signature On Executive Order To Make December Dokken History Month,0,Snopes,FALSE,biased
Bill Murray Kicks Off Presidential Campaign In South Carolina With A Bang,0,Politifact,FALSE,biased
BJP frustrated; nervous: Rahul Gandhi,1,None,TRUE,biased
BJP MLA had written to Amit Shah about threat to Jethava's life,1,None,TRUE,neutral
BJP reaction to Amit Shah case belated: Centre,1,None,TRUE,neutral
BOOM! The House Just Voted 383-0 In Support of Christians… Obama Isn’t Happy About This,1,None,TRUE,biased
"BREAKING – Dems Caught Counting Hillary Votes 6 TIMES In THIS City, TIME FOR PRISON!",0,Snopes,FALSE,biased
"BREAKING – Rand Paul Stands Up For TRUMP, Says What All Of Us Were Thinking",0,Politifact,FALSE,biased
"BREAKING – Trump DEFIES Obama, Tells Americans What Obama is Doing Behind the Scenes",0,FactCheck.org,FALSE,biased
BREAKING Another Clinton Associate Set To Testify Against Hillary Found Dead,0,Snopes,FALSE,biased
"BREAKING BOMBSHELL: NYPD Blows Whistle on New Hillary Emails: Money Laundering, Sex Crimes with Children, Child Exploitation, Pay to Play, Perjury",0,FactCheck.org,FALSE,biased
BREAKING Fraudulent Clinton Votes Discovered By The â€œTens Of Thousands,0,Politifact,FALSE,biased
BREAKING Official Set to Testify Against Hillary Found Dead,0,FactCheck.org,FALSE,biased
BREAKING! CONGRESS ADMITS CIA MOVING TO BAN FREE SPEECH IN AMERICA,0,Snopes,FALSE,biased
BREAKING: 27 Classified Docs FOUND On Anthony Weiner’s Laptop… Hillary’s In TROUBLE,0,FactCheck.org,FALSE,biased
BREAKING: Capitol Hill Shooter Identified as Right Wing Extremist,0,Politifact,FALSE,biased
BREAKING: Donald Trump Plan Secret Meeting With MOST POWERFUL BILLIONAIRE IN AMERICA!!!,0,Snopes,FALSE,biased
BREAKING: Hillary Clinton’s Nomination is a LIE and WE HAVE PROOF!!!!,0,FactCheck.org,FALSE,biased
BREAKING: Obama Just Gave ISIS Exactly What they Wanted!!,0,Politifact,FALSE,biased
BREAKING: Washington Post Just Caught Red Handed in MASSIVE Fake News Scandal!!,0,Snopes,FALSE,biased
BREAKING: We just found out who attacked TRUMP,0,FactCheck.org,FALSE,biased
Can Trump Follow Through On His Campaign Promises?,1,None,TRUE,unclear
"CANADA READY TO RECEIVE 250
",1,None,TRUE,neutral
CBI grills Amit Shah for over 9 hrs,1,None,TRUE,neutral
CHRIS CHRISTIE ARRESTED FOR KEYING TRUMP’S LIMO,0,Snopes,FALSE,biased
CHRISTIE CALLS TRUMP GENIUS FOR PLAN TO BURN DOWN WHITE HOUSE AND COLLECT INSURANCE,0,FactCheck.org,FALSE,biased
"Clinton Cash Khizr Khan's Deep Legal Financial Connections to Saudi Arabia Hillary's Clinton Foundation Tie Terror
",0,Politifact,FALSE,biased
CLINTON HOPING TO GUARANTEE VICTORY BY INVITING TRUMP TO DEBATE,1,None,TRUE,biased
"Clinton's HIV Secret REVEALED ""This Could END Hillary's Campaign!""",0,Snopes,FALSE,biased
Coming sooon: Rahul Gandhi as gen secy,1,None,TRUE,neutral
Congress bid to woo Dalits,1,None,TRUE,neutral
Congress makes an ecological point,1,None,TRUE,neutral
Congress not an asset but a burden: Mamata,1,None,TRUE,biased
Congress raps CM for 'false' assurances,1,None,TRUE,biased
Conservative Candidate Profile: Kellie Leitch,1,None,TRUE,neutral
Conservative Party Leadership Profile: Chris Alexander,1,None,TRUE,neutral
Conservative Party Leadership Profile: Lisa Raitt,1,None,TRUE,neutral
Conservative Party Leadership Profile: Maxime Bernier,1,None,TRUE,neutral
Conservative Party Leadership Profile: Michael Chong,1,None,TRUE,neutral
Dear Media LIARS: Here’s Who Is REALLY Responsible For Berlin Terror Attack,0,FactCheck.org,FALSE,biased
Dobbs – WikiLeaks Shows Obama Lied – Knew About And Used Clinton Illegal Server,0,Politifact,FALSE,biased
"Donald Trump ""I'll overturn the shocking gay marriage decision ""trust me""""",0,Politifact,FALSE,biased
Donald Trump Bombshell Ted Cruz's Wife Former Call Girl,0,Snopes,FALSE,biased
Donald Trump Caught Snorting Cocaine by Hotel Staff,0,Snopes,FALSE,biased
Donald Trump Hires Clueless Stacey Dash for Negro Outreach Program,0,Politifact,FALSE,biased
Donald Trump Meets With WWE Owner Vince McMahon About Serving As Running Mate,0,Snopes,FALSE,biased
Donald Trump Picks Stacey Dash as His Vice President in Upcoming Election,0,FactCheck.org,FALSE,biased
"Donald Trump Protester Speaks Out ""I Was Paid $3500 To Protest Trumps Rally""",0,Snopes,FALSE,biased
Donald Trump Sent His Own Plane To Transport 200 Stranded Marines,0,FactCheck.org,FALSE,biased
Donald Trump Tweets Image Of His Penis – WARNING: Graphic Content,0,Snopes,FALSE,biased
Donald’s New Restaurant,1,None,TRUE,unclear
Ed Klein: Hillary’s Delusion: ‘I’m Going to Run Again in 2020’,0,None,TRUE,biased
Egyptian paper: Transcript proves Kerry plotted UN resolution against Israel with Palestinians — Report,0,Snopes,FALSE,biased
ELECTION CHANGES POLITICAL LANDSCAPE INSIDE MARRIAGE,1,None,TRUE,unclear
Electoral voters now subjected to brutal wave of death threats and intimidation psyops… “faithless” votes being coerced to throw the election,0,None,TRUE,biased
"Escaped ISIS Sex Slave Goes Before Congress, DESTROYS Obama With 1 Devastating Sentence",1,None,TRUE,biased
Expelled BJP leader holds Modi guilty of corruption,1,None,TRUE,biased
ExxonMobil CEO Relieved It Finally Too Late To Do Anything About Climate Change,0,Snopes,FALSE,biased
FBI director received millions from Clinton Foundationmhis brother's law firm does Clinton's taxes,0,Politifact,FALSE,biased
FEC Extends Election By 7 Months To Give Nation Chance To Better Get To Know Candidates,0,FactCheck.org,FALSE,biased
"Following criticisms, Liberals vow to legalize weed even more",1,None,TRUE,biased
"Gaunt, Weathered John Kerry Leads Prisoner Uprising In Siberian Labor Camp",0,Snopes,FALSE,biased
Government mandates foyer in every building after pressure from lobbyists,1,None,TRUE,biased
Graham Says Christians Must Support Trump or Face Death Camps,0,Snopes,FALSE,biased
